No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
49,2010,1,3,0,4,NA,NA,NA,63,-7,92,1027,-6,SE,58.56,0.4,0.4
50,2010,1,3,1,4,NA,NA,NA,65,-8,85,1026,-6,SE,61.69,0.5,0.9
51,2010,1,3,2,4,NA,NA,NA,55,-8,92,1026,-7,SE,65.71,0.5,1.4
52,2010,1,3,3,4,NA,NA,NA,65,-8,92,1025,-7,SE,68.84,0.7,2.1
53,2010,1,3,4,4,NA,NA,NA,83,-8,92,1024,-7,SE,72.86,1.2,3.3
54,2010,1,3,5,4,NA,NA,NA,91,-9,92,1024,-8,SE,76.88,0.7,4
55,2010,1,3,6,4,NA,NA,NA,86,-10,85,1024,-8,SE,80.9,1,5
56,2010,1,3,7,4,NA,NA,NA,82,-10,92,1024,-9,SE,84.92,0.7,5.7
57,2010,1,3,8,4,NA,NA,NA,86,-10,92,1024,-9,SE,89.84,0.5,6.2
58,2010,1,3,9,4,NA,NA,NA,78,-11,85,1023,-9,SE,93.86,0.7,6.9
59,2010,1,3,10,4,NA,NA,NA,98,-11,85,1023,-9,SE,97.88,0.4,7.3
60,2010,1,3,11,4,NA,NA,NA,107,-11,85,1022,-9,SE,102.8,0.5,7.8
61,2010,1,3,12,4,NA,NA,NA,90,-11,85,1021,-9,SE,105.93,1.1,8.9
62,2010,1,3,13,4,NA,NA,NA,96,-11,85,1020,-9,SE,111.74,0.5,9.4
63,2010,1,3,14,4,NA,NA,NA,95,-11,85,1020,-9,SE,116.66,0.3,9.7
64,2010,1,3,15,4,NA,NA,NA,86,-11,85,1020,-9,SE,121.58,0.5,10.2
65,2010,1,3,16,4,NA,NA,NA,70,-11,85,1020,-9,SE,124.71,0.2,10.4
66,2010,1,3,17,4,NA,NA,NA,61,-11,85,1020,-9,SE,127.84,0.1,10.5
67,2010,1,3,18,4,NA,NA,NA,53,-11,85,1021,-9,cv,0.89,0.4,10.9
68,2010,1,3,19,4,NA,NA,NA,71,-11,85,1022,-9,cv,1.78,0.3,11.2
69,2010,1,3,20,4,NA,NA,NA,72,-10,92,1022,-9,NW,4.02,0,0
70,2010,1,3,21,4,NA,NA,NA,76,-11,92,1023,-10,NW,7.15,0,0
71,2010,1,3,22,4,NA,NA,NA,73,-11,85,1023,-9,NW,11.17,0,0
72,2010,1,3,23,4,NA,NA,NA,79,-12,92,1023,-11,NW,14.3,0,0
73,2010,1,4,0,4,NA,NA,NA,58,-14,85,1023,-12,NW,16.09,0,0
74,2010,1,4,1,4,NA,NA,NA,25,-16,56,1023,-9,NW,21.9,0,0
75,2010,1,4,2,4,NA,NA,NA,26,-17,56,1024,-10,NW,29.95,0,0
76,2010,1,4,3,4,NA,NA,NA,28,-18,56,1024,-11,NW,39.78,0,0
77,2010,1,4,4,4,NA,NA,NA,26,-19,51,1025,-11,NW,48.72,0,0
78,2010,1,4,5,4,NA,NA,NA,20,-20,51,1026,-12,NW,55.87,0,0
79,2010,1,4,6,4,NA,NA,NA,29,-21,47,1027,-12,NW,64.81,0,0
80,2010,1,4,7,4,NA,NA,NA,26,-21,51,1027,-13,NW,73.75,0,0
81,2010,1,4,8,4,NA,NA,NA,27,-22,46,1028,-13,NW,80.9,0,0
82,2010,1,4,9,4,NA,NA,NA,27,-22,46,1029,-13,NW,90.73,0,0
83,2010,1,4,10,4,NA,NA,NA,25,-22,43,1030,-12,NW,100.56,0,0
84,2010,1,4,11,4,NA,NA,NA,29,-23,39,1031,-12,NW,108.61,0,0
85,2010,1,4,12,4,NA,NA,NA,32,-21,43,1030,-11,NW,117.55,0,0
86,2010,1,4,13,4,NA,NA,NA,28,-20,43,1030,-10,NW,127.38,0,0
87,2010,1,4,14,4,NA,NA,NA,29,-21,40,1030,-10,NW,136.32,0,0
88,2010,1,4,15,4,NA,NA,NA,30,-21,37,1030,-9,NW,145.26,0,0
89,2010,1,4,16,4,NA,NA,NA,30,-21,37,1031,-9,NW,152.41,0,0
90,2010,1,4,17,4,NA,NA,NA,28,-20,47,1032,-11,NW,159.56,0,0
91,2010,1,4,18,4,NA,NA,NA,26,-23,36,1032,-11,NW,165.37,0,0
92,2010,1,4,19,4,NA,NA,NA,31,-21,47,1033,-12,NW,171.18,0,0
93,2010,1,4,20,4,NA,NA,NA,33,-24,36,1034,-12,NW,180.12,0,0
94,2010,1,4,21,4,NA,NA,NA,29,-24,39,1034,-13,NW,187.27,0,0
95,2010,1,4,22,4,NA,NA,NA,31,-24,39,1035,-13,NW,195.32,0,0
96,2010,1,4,23,4,NA,NA,NA,30,-26,38,1035,-15,NW,198.45,0,0
97,2010,1,5,0,4,NA,NA,NA,34,-26,45,1035,-17,NW,201.58,0,0
98,2010,1,5,1,4,NA,NA,NA,27,-26,49,1035,-18,NW,205.6,0,0
99,2010,1,5,2,4,NA,NA,NA,25,-26,53,1035,-19,NW,208.73,0,0
100,2010,1,5,3,4,NA,NA,NA,28,-27,45,1035,-18,NW,213.65,0,0
101,2010,1,5,4,4,NA,NA,NA,28,-27,49,1035,-19,NW,218.57,0,0
102,2010,1,5,5,4,NA,NA,NA,27,-27,38,1034,-16,NE,4.92,0,0
103,2010,1,5,6,4,NA,NA,NA,27,-26,41,1035,-16,NE,8.05,0,0
104,2010,1,5,7,4,NA,NA,NA,27,-27,38,1034,-16,NE,13.86,0,0
105,2010,1,5,8,4,NA,NA,NA,29,-26,41,1035,-16,NE,18.78,0,0
106,2010,1,5,9,4,NA,NA,NA,36,-26,38,1035,-15,NE,24.59,0,0
107,2010,1,5,10,4,NA,NA,NA,30,-25,38,1035,-14,NE,29.51,0,0
108,2010,1,5,11,4,NA,NA,NA,27,-25,35,1035,-13,NE,34.43,0,0
109,2010,1,5,12,4,NA,NA,NA,39,-25,33,1034,-12,NE,39.35,0,0
110,2010,1,5,13,4,NA,NA,NA,41,-24,33,1032,-11,NE,41.14,0,0
111,2010,1,5,14,4,NA,NA,NA,33,-22,39,1032,-11,cv,0.89,0,0
112,2010,1,5,15,4,NA,NA,NA,50,-23,36,1031,-11,NW,1.79,0,0
113,2010,1,5,16,4,NA,NA,NA,56,-24,33,1031,-11,NW,3.58,0,0
114,2010,1,5,17,4,NA,NA,NA,59,-23,36,1031,-11,NW,5.37,0,0
115,2010,1,5,18,4,NA,NA,NA,60,-23,36,1032,-11,NW,7.16,0,0
116,2010,1,5,19,4,NA,NA,NA,84,-22,46,1033,-13,NW,10.29,0,0
117,2010,1,5,20,4,NA,NA,NA,106,-22,43,1033,-12,NW,13.42,0,0
118,2010,1,5,21,4,NA,NA,NA,66,-24,59,1033,-18,NW,16.55,0,0
119,2010,1,5,22,4,NA,NA,NA,50,-22,46,1034,-13,NW,20.57,0,0
120,2010,1,5,23,4,NA,NA,NA,56,-22,59,1033,-16,NW,23.7,0,0
121,2010,1,6,0,4,NA,NA,NA,77,-25,49,1033,-17,NW,26.83,0,0
122,2010,1,6,1,4,NA,NA,NA,50,-25,38,1033,-14,NE,4.02,0,0
123,2010,1,6,2,4,NA,NA,NA,44,-26,35,1034,-14,NE,8.04,0,0
124,2010,1,6,3,4,NA,NA,NA,27,-26,35,1033,-14,NE,13.85,0,0
125,2010,1,6,4,4,NA,NA,NA,28,-26,35,1033,-14,NE,17.87,0,0
126,2010,1,6,5,4,NA,NA,NA,21,-26,35,1033,-14,NE,23.68,0,0
127,2010,1,6,6,4,NA,NA,NA,25,-26,35,1033,-14,NE,28.6,0,0
128,2010,1,6,7,4,NA,NA,NA,20,-26,38,1034,-15,NE,33.52,0,0
129,2010,1,6,8,4,NA,NA,NA,29,-26,35,1034,-14,NE,39.33,0,0
130,2010,1,6,9,4,NA,NA,NA,34,-25,35,1035,-13,NE,44.25,0,0
131,2010,1,6,10,4,NA,NA,NA,42,-25,33,1035,-12,NE,50.06,0,0
132,2010,1,6,11,4,NA,NA,NA,28,-24,33,1035,-11,NE,54.98,0,0
133,2010,1,6,12,4,NA,NA,NA,36,-24,30,1034,-10,NE,59,0,0
134,2010,1,6,13,4,NA,NA,NA,48,-22,36,1033,-10,NW,4.02,0,0
135,2010,1,6,14,4,NA,NA,NA,49,-22,34,1033,-9,NW,5.81,0,0
136,2010,1,6,15,4,NA,NA,NA,52,-22,31,1033,-8,cv,0.89,0,0
137,2010,1,6,16,4,NA,NA,NA,56,-22,31,1033,-8,NW,1.79,0,0
138,2010,1,6,17,4,NA,NA,NA,96,-21,37,1033,-9,NW,3.58,0,0
139,2010,1,6,18,4,NA,NA,NA,75,-22,34,1033,-9,NW,5.37,0,0
140,2010,1,6,19,4,NA,NA,NA,105,-22,50,1034,-14,cv,0.89,0,0
141,2010,1,6,20,4,NA,NA,NA,132,-22,43,1035,-12,NW,1.79,0,0
142,2010,1,6,21,4,NA,NA,NA,93,-21,55,1034,-14,NW,3.58,0,0
143,2010,1,6,22,4,NA,NA,NA,131,-22,59,1035,-16,NW,5.37,0,0
144,2010,1,6,23,4,NA,NA,NA,127,-21,65,1035,-16,NW,7.16,0,0
145,2010,1,7,0,4,NA,NA,NA,130,-21,65,1035,-16,NW,8.95,0,0
146,2010,1,7,1,4,NA,NA,NA,43,-21,65,1035,-16,cv,0.45,0,0
147,2010,1,7,2,4,NA,NA,NA,37,-22,70,1036,-18,cv,1.34,0,0
148,2010,1,7,3,4,NA,NA,NA,30,-23,50,1036,-15,NW,4.02,0,0
149,2010,1,7,4,4,NA,NA,NA,28,-24,50,1035,-16,NW,7.15,0,0
150,2010,1,7,5,4,NA,NA,NA,24,-25,42,1035,-15,NW,10.28,0,0
151,2010,1,7,6,4,NA,NA,NA,23,-24,46,1035,-15,NW,14.3,0,0
152,2010,1,7,7,4,NA,NA,NA,24,-25,35,1036,-13,NE,4.92,0,0
153,2010,1,7,8,4,NA,NA,NA,27,-24,42,1036,-14,NW,4.02,0,0
154,2010,1,7,9,4,NA,NA,NA,40,-23,39,1036,-12,NW,8.94,0,0
155,2010,1,7,10,4,NA,NA,NA,42,-22,39,1036,-11,NW,12.96,0,0
156,2010,1,7,11,4,NA,NA,NA,42,-20,43,1036,-10,NW,16.09,0,0
157,2010,1,7,12,4,NA,NA,NA,55,-21,37,1035,-9,NW,19.22,0,0
158,2010,1,7,13,4,NA,NA,NA,52,-21,34,1034,-8,NW,21.01,0,0
159,2010,1,7,14,4,NA,NA,NA,51,-20,34,1033,-7,NW,22.8,0,0
160,2010,1,7,15,4,NA,NA,NA,57,-20,34,1032,-7,NW,24.59,0,0
161,2010,1,7,16,4,NA,NA,NA,50,-18,44,1032,-8,NW,26.38,0,0
162,2010,1,7,17,4,NA,NA,NA,54,-19,44,1032,-9,NW,28.17,0,0
163,2010,1,7,18,4,NA,NA,NA,67,-19,51,1032,-11,NE,0.89,0,0
164,2010,1,7,19,4,NA,NA,NA,106,-18,56,1033,-11,NW,1.79,0,0
165,2010,1,7,20,4,NA,NA,NA,159,-19,71,1032,-15,NE,1.79,0,0
166,2010,1,7,21,4,NA,NA,NA,198,-19,65,1032,-14,cv,0.45,0,0
167,2010,1,7,22,4,NA,NA,NA,190,-21,55,1032,-14,cv,1.34,0,0
168,2010,1,7,23,4,NA,NA,NA,210,-21,65,1032,-16,cv,2.23,0,0
169,2010,1,8,0,4,NA,NA,NA,195,-21,71,1031,-17,NW,1.79,0,0
170,2010,1,8,1,4,NA,NA,NA,275,-19,77,1031,-16,NW,3.58,0,0
171,2010,1,8,2,4,NA,NA,NA,164,-20,71,1031,-16,NE,0.89,0,0
172,2010,1,8,3,4,NA,NA,NA,110,-19,71,1030,-15,SE,0.89,0,0
173,2010,1,8,4,4,NA,NA,NA,100,-18,77,1030,-15,cv,0.45,0,0
174,2010,1,8,5,4,NA,NA,NA,81,-18,77,1029,-15,cv,1.34,0,0
175,2010,1,8,6,4,NA,NA,NA,71,-18,77,1029,-15,NW,1.79,0,0
176,2010,1,8,7,4,NA,NA,NA,66,-16,78,1029,-13,NE,0.89,0,0
177,2010,1,8,8,4,NA,NA,NA,92,-16,72,1029,-12,SE,0.89,0,0
178,2010,1,8,9,4,NA,NA,NA,135,-16,72,1030,-12,SE,1.78,0,0
179,2010,1,8,10,4,NA,NA,NA,155,-17,56,1030,-10,NE,0.89,0,0
180,2010,1,8,11,4,NA,NA,NA,198,-16,61,1029,-10,cv,0.89,0,0
181,2010,1,8,12,4,NA,NA,NA,250,-16,56,1028,-9,SE,3.13,0,0
182,2010,1,8,13,4,NA,NA,NA,200,-15,57,1026,-8,SE,4.92,0,0
183,2010,1,8,14,4,NA,NA,NA,231,-16,52,1026,-8,cv,0.89,0,0
184,2010,1,8,15,4,NA,NA,NA,250,-16,52,1025,-8,cv,1.78,0,0
185,2010,1,8,16,4,NA,NA,NA,212,-16,52,1025,-8,cv,2.67,0,0
186,2010,1,8,17,4,NA,NA,NA,219,-17,48,1025,-8,SE,0.89,0,0
187,2010,1,8,18,4,NA,NA,NA,227,-17,52,1026,-9,cv,0.45,0,0
188,2010,1,8,19,4,NA,NA,NA,226,-17,61,1026,-11,cv,1.34,0,0
189,2010,1,8,20,4,NA,NA,NA,225,-17,66,1026,-12,cv,1.79,0,0
190,2010,1,8,21,4,NA,NA,NA,168,-18,71,1027,-14,NW,1.79,0,0
191,2010,1,8,22,4,NA,NA,NA,169,-16,56,1027,-9,NW,4.92,0,0
192,2010,1,8,23,4,NA,NA,NA,165,-16,66,1027,-11,NW,6.71,0,0
193,2010,1,9,0,4,NA,NA,NA,159,-17,71,1027,-13,cv,0.89,0,0
194,2010,1,9,1,4,NA,NA,NA,167,-17,71,1027,-13,NW,3.13,0,0
195,2010,1,9,2,4,NA,NA,NA,196,-17,77,1027,-14,NW,4.92,0,0
196,2010,1,9,3,4,NA,NA,NA,169,-17,84,1027,-15,NW,8.05,0,0
197,2010,1,9,4,4,NA,NA,NA,155,-17,71,1027,-13,NW,9.84,0,0
198,2010,1,9,5,4,NA,NA,NA,119,-19,77,1027,-16,NW,13.86,0,0
199,2010,1,9,6,4,NA,NA,NA,106,-18,77,1027,-15,NW,17.88,0,0
200,2010,1,9,7,4,NA,NA,NA,93,-19,71,1027,-15,NW,21.9,0,0
201,2010,1,9,8,4,NA,NA,NA,84,-18,71,1028,-14,NW,25.92,0,0
202,2010,1,9,9,4,NA,NA,NA,73,-18,48,1029,-9,NE,5.81,0,0
203,2010,1,9,10,4,NA,NA,NA,66,-17,44,1029,-7,NE,11.62,0,0
204,2010,1,9,11,4,NA,NA,NA,40,-17,41,1030,-6,NE,17.43,0,0
205,2010,1,9,12,4,NA,NA,NA,49,-16,45,1029,-6,NE,23.24,0,0
206,2010,1,9,13,4,NA,NA,NA,50,-16,41,1029,-5,NE,28.16,0,0
207,2010,1,9,14,4,NA,NA,NA,49,-15,42,1029,-4,NE,33.08,0,0
208,2010,1,9,15,4,NA,NA,NA,41,-14,45,1028,-4,NE,37.1,0,0
209,2010,1,9,16,4,NA,NA,NA,37,-15,42,1029,-4,NE,38.89,0,0
210,2010,1,9,17,4,NA,NA,NA,45,-15,42,1030,-4,NW,1.79,0,0
211,2010,1,9,18,4,NA,NA,NA,44,-15,52,1030,-7,NE,3.13,0,0
212,2010,1,9,19,4,NA,NA,NA,54,-15,48,1031,-6,NW,3.13,0,0
213,2010,1,9,20,4,NA,NA,NA,50,-15,52,1032,-7,NW,4.92,0,0
214,2010,1,9,21,4,NA,NA,NA,47,-15,48,1032,-6,NE,3.13,0,0
215,2010,1,9,22,4,NA,NA,NA,66,-15,57,1033,-8,cv,0.45,0,0
216,2010,1,9,23,4,NA,NA,NA,75,-15,57,1033,-8,cv,0.9,0,0
217,2010,1,10,0,4,NA,NA,NA,82,-15,72,1033,-11,NW,0.89,0,0
218,2010,1,10,1,4,NA,NA,NA,66,-17,71,1033,-13,NW,1.78,0,0
219,2010,1,10,2,4,NA,NA,NA,83,-17,66,1033,-12,NW,4.91,0,0
220,2010,1,10,3,4,NA,NA,NA,62,-17,71,1033,-13,NW,8.04,0,0
221,2010,1,10,4,4,NA,NA,NA,40,-19,65,1032,-14,NW,9.83,0,0
222,2010,1,10,5,4,NA,NA,NA,23,-18,66,1032,-13,NW,12.96,0,0
223,2010,1,10,6,4,NA,NA,NA,25,-19,60,1032,-13,NW,16.09,0,0
224,2010,1,10,7,4,NA,NA,NA,27,-19,65,1033,-14,NW,19.22,0,0
225,2010,1,10,8,4,NA,NA,NA,35,-19,65,1034,-14,NW,22.35,0,0
226,2010,1,10,9,4,NA,NA,NA,50,-17,66,1033,-12,NW,24.14,0,0
227,2010,1,10,10,4,NA,NA,NA,70,-16,48,1033,-7,NE,4.02,0,0
228,2010,1,10,11,4,NA,NA,NA,75,-15,52,1033,-7,NW,3.13,0,0
229,2010,1,10,12,4,NA,NA,NA,58,-15,52,1032,-7,NW,6.26,0,0
230,2010,1,10,13,4,NA,NA,NA,70,-14,53,1031,-6,NW,9.39,0,0
231,2010,1,10,14,4,NA,NA,NA,68,-14,53,1031,-6,NW,12.52,0,0
232,2010,1,10,15,4,NA,NA,NA,71,-13,53,1030,-5,NW,14.31,0,0
233,2010,1,10,16,4,NA,NA,NA,88,-14,49,1031,-5,NW,16.1,0,0
234,2010,1,10,17,4,NA,NA,NA,84,-14,53,1031,-6,NW,19.23,0,0
235,2010,1,10,18,4,NA,NA,NA,83,-13,62,1032,-7,NW,23.25,0,0
236,2010,1,10,19,4,NA,NA,NA,66,-15,48,1032,-6,NW,27.27,0,0
237,2010,1,10,20,4,NA,NA,NA,27,-15,48,1033,-6,NW,30.4,0,0
238,2010,1,10,21,4,NA,NA,NA,24,-15,42,1034,-4,NW,35.32,0,0
239,2010,1,10,22,4,NA,NA,NA,22,-16,38,1034,-4,NW,44.26,0,0
240,2010,1,10,23,4,NA,NA,NA,23,-17,38,1035,-5,NW,52.31,0,0
241,2010,1,11,0,4,NA,NA,NA,27,-17,41,1035,-6,NW,60.36,0,0
242,2010,1,11,1,4,NA,NA,NA,23,-17,48,1035,-8,cv,0.89,0,0
243,2010,1,11,2,4,NA,NA,NA,17,-19,51,1036,-11,NW,4.02,0,0
244,2010,1,11,3,4,NA,NA,NA,17,-20,47,1036,-11,NW,8.94,0,0
245,2010,1,11,4,4,NA,NA,NA,16,-21,43,1035,-11,NE,4.02,0,0
246,2010,1,11,5,4,NA,NA,NA,16,-22,43,1035,-12,NW,3.13,0,0
247,2010,1,11,6,4,NA,NA,NA,20,-22,43,1035,-12,NE,4.92,0,0
248,2010,1,11,7,4,NA,NA,NA,20,-22,46,1036,-13,NW,5.81,0,0
249,2010,1,11,8,4,NA,NA,NA,18,-22,34,1036,-9,NW,13.86,0,0
250,2010,1,11,9,4,NA,NA,NA,25,-22,36,1036,-10,NW,21.91,0,0
251,2010,1,11,10,4,NA,NA,NA,26,-22,34,1036,-9,NW,29.06,0,0
252,2010,1,11,11,4,NA,NA,NA,27,-21,37,1036,-9,NW,33.08,0,0
253,2010,1,11,12,4,NA,NA,NA,28,-20,32,1035,-6,NW,42.02,0,0
254,2010,1,11,13,4,NA,NA,NA,15,-19,32,1034,-5,NW,50.96,0,0
255,2010,1,11,14,4,NA,NA,NA,24,-19,32,1033,-5,NW,59.01,0,0
256,2010,1,11,15,4,NA,NA,NA,13,-20,29,1033,-5,NW,66.16,0,0
257,2010,1,11,16,4,NA,NA,NA,13,-20,29,1032,-5,NW,71.97,0,0
258,2010,1,11,17,4,NA,NA,NA,13,-20,29,1033,-5,NW,76.89,0,0
259,2010,1,11,18,4,NA,NA,NA,17,-20,34,1033,-7,NW,81.81,0,0
260,2010,1,11,19,4,NA,NA,NA,20,-22,29,1033,-7,NW,85.83,0,0
261,2010,1,11,20,4,NA,NA,NA,27,-22,31,1033,-8,NW,89.85,0,0
262,2010,1,11,21,4,NA,NA,NA,20,-23,33,1033,-10,NW,91.64,0,0
263,2010,1,11,22,4,NA,NA,NA,15,-23,42,1033,-13,NW,93.43,0,0
264,2010,1,11,23,4,NA,NA,NA,21,-22,43,1032,-12,cv,0.89,0,0
265,2010,1,12,0,4,NA,NA,NA,21,-22,55,1031,-15,cv,1.78,0,0
266,2010,1,12,1,4,NA,NA,NA,37,-22,50,1031,-14,NE,1.79,0,0
267,2010,1,12,2,4,NA,NA,NA,26,-22,50,1031,-14,NW,0.89,0,0
268,2010,1,12,3,4,NA,NA,NA,15,-24,59,1030,-18,NE,1.79,0,0
269,2010,1,12,4,4,NA,NA,NA,9,-24,39,1030,-13,NE,3.58,0,0
270,2010,1,12,5,4,NA,NA,NA,11,-25,38,1030,-14,NW,3.13,0,0
271,2010,1,12,6,4,NA,NA,NA,11,-24,42,1030,-14,NW,7.15,0,0
272,2010,1,12,7,4,NA,NA,NA,16,-25,33,1030,-12,NW,12.96,0,0
273,2010,1,12,8,4,NA,NA,NA,13,-26,35,1030,-14,NW,16.98,0,0
274,2010,1,12,9,4,NA,NA,NA,15,-25,33,1031,-12,NW,21,0,0
275,2010,1,12,10,4,NA,NA,NA,21,-25,30,1031,-11,NW,26.81,0,0
276,2010,1,12,11,4,NA,NA,NA,24,-24,33,1030,-11,NW,35.75,0,0
277,2010,1,12,12,4,NA,NA,NA,22,-23,36,1029,-11,NW,47.82,0,0
278,2010,1,12,13,4,NA,NA,NA,22,-22,39,1029,-11,NW,63.02,0,0
279,2010,1,12,14,4,NA,NA,NA,22,-23,36,1029,-11,NW,75.98,0,0
280,2010,1,12,15,4,NA,NA,NA,19,-22,39,1029,-11,NW,88.05,0,0
281,2010,1,12,16,4,NA,NA,NA,23,-23,36,1030,-11,NW,101.01,0,0
282,2010,1,12,17,4,NA,NA,NA,25,-24,33,1030,-11,NW,109.06,0,0
283,2010,1,12,18,4,NA,NA,NA,25,-24,33,1032,-11,NW,118,0,0
284,2010,1,12,19,4,NA,NA,NA,31,-23,36,1032,-11,NW,126.05,0,0
285,2010,1,12,20,4,NA,NA,NA,25,-23,39,1032,-12,NW,134.1,0,0
286,2010,1,12,21,4,NA,NA,NA,22,-24,36,1033,-12,NW,142.15,0,0
287,2010,1,12,22,4,NA,NA,NA,22,-23,39,1033,-12,NW,150.2,0,0
288,2010,1,12,23,4,NA,NA,NA,15,-23,39,1034,-12,NW,160.03,0,0
289,2010,1,13,0,4,NA,NA,NA,16,-24,36,1034,-12,NW,169.86,0,0
290,2010,1,13,1,4,NA,NA,NA,11,-24,36,1033,-12,NW,178.8,0,0
291,2010,1,13,2,4,NA,NA,NA,11,-25,33,1033,-12,NW,189.98,0,0
292,2010,1,13,3,4,NA,NA,NA,12,-24,39,1033,-13,NW,198.03,0,0
293,2010,1,13,4,4,NA,NA,NA,11,-25,33,1032,-12,NW,205.18,0,0
294,2010,1,13,5,4,NA,NA,NA,12,-25,33,1033,-12,NW,215.01,0,0
295,2010,1,13,6,4,NA,NA,NA,27,-25,33,1032,-12,NW,226.19,0,0
296,2010,1,13,7,4,NA,NA,NA,28,-25,33,1032,-12,NW,235.13,0,0
297,2010,1,13,8,4,NA,NA,NA,34,-25,33,1032,-12,NW,243.18,0,0
298,2010,1,13,9,4,NA,NA,NA,33,-23,36,1033,-11,NW,252.12,0,0
