No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
64,2010,1,3,15,4,NA,NA,NA,3,54.08,1018,12,SE,26,0,0
65,2010,1,3,16,4,NA,NA,NA,3,57.77,1018,11,SE,33,0,0
66,2010,1,3,17,4,NA,NA,NA,3,61.76,1018,10,SE,38,0,0
67,2010,1,3,18,4,NA,NA,NA,4,70.88,1018,9,SE,42,0,0
68,2010,1,3,19,4,NA,NA,NA,4,70.88,1016.9,9,SE,47,0,0
69,2010,1,3,20,4,NA,NA,NA,5,76.01,1016.9,9,SE,52,0,0
70,2010,1,3,21,4,NA,NA,NA,5,76.01,1016.9,9,SE,58,0,0
71,2010,1,3,22,4,NA,NA,NA,5,76.01,1015.9,9,SE,63,0,0
72,2010,1,3,23,4,NA,NA,NA,6,81.48,1015.9,9,SE,67,0,0
73,2010,1,4,0,4,NA,NA,NA,5,81.34,1014.9,8,SW,5,0,0
74,2010,1,4,1,4,NA,NA,NA,5,81.34,1014.9,8,SW,10,0,0
75,2010,1,4,2,4,NA,NA,NA,4,81.2,1014.9,7,SW,14,0,0
76,2010,1,4,3,4,NA,NA,NA,4,86.99,1014.9,6,SW,16,0,0
77,2010,1,4,4,4,NA,NA,NA,3,86.89,1014.9,5,NW,1,0,0
78,2010,1,4,5,4,NA,NA,NA,4,86.99,1014.9,6,NW,3,0,0
79,2010,1,4,6,4,NA,NA,NA,4,93.24,1015.9,5,SW,2,0,0
80,2010,1,4,7,4,NA,NA,NA,3,86.89,1015.9,5,NW,2,0,0
81,2010,1,4,8,4,NA,NA,NA,4,86.99,1016.9,6,NW,7,0,0
82,2010,1,4,9,4,NA,NA,NA,4,86.99,1018,6,NW,12,0,0
83,2010,1,4,10,4,NA,NA,NA,4,86.99,1019,6,NW,19,0,0
84,2010,1,4,11,4,NA,NA,NA,3,75.67,1019,7,NW,26,0,0
85,2010,1,4,12,4,NA,NA,NA,2,65.82,1019,8,NW,33,0,0
86,2010,1,4,13,4,NA,NA,NA,0,61.01,1020,7,NW,40,0,0
87,2010,1,4,14,4,NA,NA,NA,-1,56.72,1020,7,NW,48,0,0
88,2010,1,4,15,4,NA,NA,NA,-4,45.4,1021,7,NE,7,0,0
89,2010,1,4,16,4,NA,NA,NA,-4,48.63,1022,6,NW,9,0,0
90,2010,1,4,17,4,NA,NA,NA,-3,52.41,1022,6,NW,16,0,0
91,2010,1,4,18,4,NA,NA,NA,-1,69.85,1023,4,NE,7,0,0
92,2010,1,4,19,4,NA,NA,NA,-2,69.64,1024,3,NE,15,0,0
93,2010,1,4,20,4,NA,NA,NA,-4,64.42,1026.1,2,NE,23,0,0
94,2010,1,4,21,4,NA,NA,NA,-5,64.18,1026.1,1,NE,32,0,0
95,2010,1,4,22,4,NA,NA,NA,-5,69,1027.1,0,NE,39,0,0
96,2010,1,4,23,4,NA,NA,NA,-6,63.94,1027.1,0,NE,47,0,0
97,2010,1,5,0,4,NA,NA,NA,-7,63.69,1028.1,-1,NE,53,0,0
98,2010,1,5,1,4,NA,NA,NA,-8,58.95,1028.1,-1,NE,59,0,0
99,2010,1,5,2,4,NA,NA,NA,-9,54.51,1028.1,-1,NE,64,0,0
100,2010,1,5,3,4,NA,NA,NA,-9,54.51,1029.1,-1,NE,70,0,0
101,2010,1,5,4,4,NA,NA,NA,-10,54.23,1029.1,-2,NE,76,0,0
102,2010,1,5,5,4,NA,NA,NA,-9,58.68,1029.1,-2,NW,4,0,0
103,2010,1,5,6,4,NA,NA,NA,-8,63.45,1029.1,-2,NW,8,0,0
104,2010,1,5,7,4,NA,NA,NA,-7,68.56,1029.1,-2,NW,12,0,0
105,2010,1,5,8,4,NA,NA,NA,-6,74.03,1029.1,-2,NW,16,0,0
106,2010,1,5,9,4,NA,NA,NA,-6,74.03,1030.1,-2,NE,4,0,0
107,2010,1,5,10,4,NA,NA,NA,-6,68.78,1030.1,-1,NW,4,0,0
108,2010,1,5,11,4,NA,NA,NA,-6,63.94,1030.1,0,NE,5,0,0
109,2010,1,5,12,4,NA,NA,NA,-7,55.08,1029.1,1,NE,9,0,0
110,2010,1,5,13,4,NA,NA,NA,-7,55.08,1028.1,1,NE,13,0,0
111,2010,1,5,14,4,NA,NA,NA,-7,55.08,1027.1,1,NE,18,0,0
112,2010,1,5,15,4,NA,NA,NA,-7,55.08,1027.1,1,NE,23,0,0
113,2010,1,5,16,4,NA,NA,NA,-7,55.08,1027.1,1,NE,28,0,0
114,2010,1,5,17,4,NA,NA,NA,-7,59.21,1028.1,0,NE,32,0,0
115,2010,1,5,18,4,NA,NA,NA,-7,59.21,1028.1,0,NE,37,0,0
116,2010,1,5,19,4,NA,NA,NA,-6,63.94,1029.1,0,NE,42,0,0
117,2010,1,5,20,4,NA,NA,NA,-6,63.94,1028.1,0,NE,47,0,0
118,2010,1,5,21,4,NA,NA,NA,-5,69,1029.1,0,NE,50,0,0
119,2010,1,5,22,4,NA,NA,NA,-5,69,1029.1,0,NW,3,0,0
120,2010,1,5,23,4,NA,NA,NA,-5,69,1029.1,0,NW,6,0,0
121,2010,1,6,0,4,NA,NA,NA,-5,69,1028.1,0,NW,9,0,0
122,2010,1,6,1,4,NA,NA,NA,-4,74.41,1028.1,0,NW,13,0,0
123,2010,1,6,2,4,NA,NA,NA,-4,80.04,1028.1,-1,NW,17,0,0
124,2010,1,6,3,4,NA,NA,NA,-4,74.41,1028.1,0,NW,21,0,0
125,2010,1,6,4,4,NA,NA,NA,-4,80.04,1029.1,-1,NW,25,0,0
126,2010,1,6,5,4,NA,NA,NA,-4,80.04,1029.1,-1,NW,29,0,0
127,2010,1,6,6,4,NA,NA,NA,-4,80.04,1029.1,-1,NW,32,0,0
128,2010,1,6,7,4,NA,NA,NA,-4,80.04,1030.1,-1,NE,3,0,0
129,2010,1,6,8,4,NA,NA,NA,-4,74.41,1030.1,0,NE,8,0,0
130,2010,1,6,9,4,NA,NA,NA,-4,74.41,1030.1,0,NE,13,0,0
131,2010,1,6,10,4,NA,NA,NA,-5,59.74,1030.1,2,NE,19,0,0
132,2010,1,6,11,4,NA,NA,NA,-5,55.63,1030.1,3,NE,23,0,0
133,2010,1,6,12,4,NA,NA,NA,-5,55.63,1029.1,3,NW,4,0,0
134,2010,1,6,13,4,NA,NA,NA,-7,44.49,1028.1,4,NE,3,0,0
135,2010,1,6,14,4,NA,NA,NA,-7,44.49,1028.1,4,NE,6,0,0
136,2010,1,6,15,4,NA,NA,NA,-7,44.49,1028.1,4,NW,3,0,0
137,2010,1,6,16,4,NA,NA,NA,-8,41.17,1029.1,4,NE,5,0,0
138,2010,1,6,17,4,NA,NA,NA,-8,44.19,1029.1,3,NE,10,0,0
139,2010,1,6,18,4,NA,NA,NA,-8,44.19,1029.1,3,NE,14,0,0
140,2010,1,6,19,4,NA,NA,NA,-6,55.36,1030.1,2,NE,18,0,0
141,2010,1,6,20,4,NA,NA,NA,-6,59.48,1031.2,1,NE,22,0,0
142,2010,1,6,21,4,NA,NA,NA,-6,59.48,1031.2,1,NE,26,0,0
143,2010,1,6,22,4,NA,NA,NA,-7,59.21,1031.2,0,NE,30,0,0
144,2010,1,6,23,4,NA,NA,NA,-6,63.94,1031.2,0,NE,34,0,0
145,2010,1,7,0,4,NA,NA,NA,-5,74.22,1030.1,-1,NE,38,0,0
146,2010,1,7,1,4,NA,NA,NA,-5,74.22,1030.1,-1,NE,40,0,0
147,2010,1,7,2,4,NA,NA,NA,-5,79.89,1030.1,-2,NE,42,0,0
148,2010,1,7,3,4,NA,NA,NA,-5,74.22,1030.1,-1,NE,45,0,0
149,2010,1,7,4,4,NA,NA,NA,-5,79.89,1030.1,-2,NW,2,0,0
150,2010,1,7,5,4,NA,NA,NA,-5,79.89,1030.1,-2,NW,4,0,0
151,2010,1,7,6,4,NA,NA,NA,-5,79.89,1031.2,-2,NW,7,0,0
152,2010,1,7,7,4,NA,NA,NA,-5,79.89,1031.2,-2,NW,10,0,0
153,2010,1,7,8,4,NA,NA,NA,-4,86.15,1031.8,-2,NW,14,0,0
154,2010,1,7,9,4,NA,NA,NA,-4,74.41,1031.8,0,NW,17,0,0
155,2010,1,7,10,4,NA,NA,NA,-4,69.21,1031.8,1,NW,21,0,0
156,2010,1,7,11,4,NA,NA,NA,-5,59.74,1031.8,2,NW,25,0,0
157,2010,1,7,12,4,NA,NA,NA,-5,55.63,1030.1,3,NE,4,0,0
158,2010,1,7,13,4,NA,NA,NA,-5,55.63,1029.1,3,NE,8,0,0
159,2010,1,7,14,4,NA,NA,NA,-6,48.04,1029.1,4,NE,13,0,0
160,2010,1,7,15,4,NA,NA,NA,-7,44.49,1029.1,4,NE,18,0,0
161,2010,1,7,16,4,NA,NA,NA,-6,51.56,1029.1,3,NE,24,0,0
162,2010,1,7,17,4,NA,NA,NA,-6,51.56,1029.1,3,NE,29,0,0
163,2010,1,7,18,4,NA,NA,NA,-6,55.36,1029.1,2,NE,33,0,0
164,2010,1,7,19,4,NA,NA,NA,-6,55.36,1030.1,2,NE,37,0,0
165,2010,1,7,20,4,NA,NA,NA,-5,64.18,1030.1,1,NE,41,0,0
166,2010,1,7,21,4,NA,NA,NA,-5,64.18,1030.1,1,NE,45,0,0
167,2010,1,7,22,4,NA,NA,NA,-5,64.18,1029.1,1,NE,49,0,0
168,2010,1,7,23,4,NA,NA,NA,-5,64.18,1029.1,1,NE,52,0,0
169,2010,1,8,0,4,NA,NA,NA,-5,69,1029.1,0,NE,56,0,0
170,2010,1,8,1,4,NA,NA,NA,-5,69,1029.1,0,NE,59,0,0
171,2010,1,8,2,4,NA,NA,NA,-5,69,1029.1,0,NE,62,0,0
172,2010,1,8,3,4,NA,NA,NA,-5,69,1028.1,0,NE,66,0,0
173,2010,1,8,4,4,NA,NA,NA,-5,69,1028.1,0,NE,70,0,0
174,2010,1,8,5,4,NA,NA,NA,-6,63.94,1027.1,0,NE,74,0,0
175,2010,1,8,6,4,NA,NA,NA,-6,63.94,1028.1,0,NW,3,0,0
176,2010,1,8,7,4,NA,NA,NA,-6,63.94,1028.1,0,NW,6,0,0
177,2010,1,8,8,4,NA,NA,NA,-6,63.94,1029.1,0,NW,8,0,0
178,2010,1,8,9,4,NA,NA,NA,-5,64.18,1029.1,1,NW,10,0,0
179,2010,1,8,10,4,NA,NA,NA,-5,59.74,1029.1,2,NE,3,0,0
180,2010,1,8,11,4,NA,NA,NA,-6,55.36,1029.1,2,cv,2,0,0
181,2010,1,8,12,4,NA,NA,NA,-7,44.49,1027.1,4,NW,2,0,0
182,2010,1,8,13,4,NA,NA,NA,-8,38.39,1026.1,5,cv,2,0,0
183,2010,1,8,14,4,NA,NA,NA,-9,35.51,1026.1,5,cv,4,0,0
184,2010,1,8,15,4,NA,NA,NA,-9,35.51,1025.1,5,cv,5,0,0
185,2010,1,8,16,4,NA,NA,NA,-9,35.51,1025.1,5,cv,5,0,0
186,2010,1,8,17,4,NA,NA,NA,-9,35.51,1026.1,5,cv,5,0,0
187,2010,1,8,18,4,NA,NA,NA,-7,44.49,1026.1,4,cv,6,0,0
188,2010,1,8,19,4,NA,NA,NA,-5,51.84,1027.1,4,SE,3,0,0
189,2010,1,8,20,4,NA,NA,NA,-4,60,1027.1,3,SE,6,0,0
190,2010,1,8,21,4,NA,NA,NA,-3,64.66,1026.1,3,SE,9,0,0
191,2010,1,8,22,4,NA,NA,NA,-2,69.64,1026.1,3,SE,11,0,0
192,2010,1,8,23,4,NA,NA,NA,-3,69.43,1027.1,2,cv,2,0,0
193,2010,1,9,0,4,NA,NA,NA,-3,69.43,1026.1,2,SE,2,0,0
194,2010,1,9,1,4,NA,NA,NA,-3,69.43,1026.1,2,SE,4,0,0
195,2010,1,9,2,4,NA,NA,NA,-3,69.43,1026.1,2,SE,5,0,0
196,2010,1,9,3,4,NA,NA,NA,-3,74.59,1025.1,1,cv,0,0,0
197,2010,1,9,4,4,NA,NA,NA,-3,74.59,1024,1,cv,0,0,0
198,2010,1,9,5,4,NA,NA,NA,-2,74.78,1024,2,SE,3,0,0
199,2010,1,9,6,4,NA,NA,NA,-2,80.34,1025.1,1,cv,0,0,0
200,2010,1,9,7,4,NA,NA,NA,-2,80.34,1025.1,1,SE,1,0,0
201,2010,1,9,8,4,NA,NA,NA,-1,74.96,1025.1,3,cv,1,0,0
202,2010,1,9,9,4,NA,NA,NA,0,70.06,1025.1,5,SE,2,0,0
203,2010,1,9,10,4,NA,NA,NA,1,65.59,1025.1,7,SE,5,0,0
204,2010,1,9,11,4,NA,NA,NA,1,61.26,1025.1,8,cv,1,0,0
205,2010,1,9,12,4,NA,NA,NA,2,65.82,1024,8,cv,2,0,0
206,2010,1,9,13,4,NA,NA,NA,2,61.51,1023,9,NW,2,0,0
207,2010,1,9,14,4,NA,NA,NA,2,57.51,1022,10,cv,1,0,0
208,2010,1,9,15,4,NA,NA,NA,2,57.51,1022,10,cv,3,0,0
209,2010,1,9,16,4,NA,NA,NA,2,61.51,1023,9,NE,6,0,0
210,2010,1,9,17,4,NA,NA,NA,1,61.26,1024,8,NE,10,0,0
211,2010,1,9,18,4,NA,NA,NA,1,65.59,1025.1,7,NE,15,0,0
212,2010,1,9,19,4,NA,NA,NA,0,65.36,1026.1,6,NE,18,0,0
213,2010,1,9,20,4,NA,NA,NA,0,65.36,1026.1,6,NE,22,0,0
214,2010,1,9,21,4,NA,NA,NA,-1,65.13,1027.1,5,NE,24,0,0
215,2010,1,9,22,4,NA,NA,NA,0,70.06,1027.1,5,NE,27,0,0
216,2010,1,9,23,4,NA,NA,NA,1,75.32,1027.1,5,NE,30,0,0
217,2010,1,10,0,4,NA,NA,NA,0,75.14,1026.1,4,NE,32,0,0
218,2010,1,10,1,4,NA,NA,NA,2,80.92,1026.1,5,NE,35,0,0
219,2010,1,10,2,4,NA,NA,NA,2,75.49,1025.1,6,NE,40,0,0
220,2010,1,10,3,4,NA,NA,NA,2,75.49,1025.1,6,NE,43,0,0
221,2010,1,10,4,4,NA,NA,NA,3,81.06,1024,6,NE,47,0,0
222,2010,1,10,5,4,NA,NA,NA,3,81.06,1024,6,NE,51,0,0
223,2010,1,10,6,4,NA,NA,NA,4,86.99,1025.1,6,NE,54,0.5,0.5
224,2010,1,10,7,4,NA,NA,NA,4,86.99,1025.1,6,NE,58,0.9,1.4
225,2010,1,10,8,4,NA,NA,NA,5,93.29,1025.1,6,NE,63,0.2,1.6
226,2010,1,10,9,4,NA,NA,NA,5,93.29,1025.1,6,NE,68,0.5,2.1
227,2010,1,10,10,4,NA,NA,NA,5,93.29,1025.1,6,NE,72,0.8,2.9
228,2010,1,10,11,4,NA,NA,NA,5,93.29,1025.1,6,NE,76,1.4,4.3
229,2010,1,10,12,4,NA,NA,NA,5,87.09,1024,7,NE,81,1.3,5.6
230,2010,1,10,13,4,NA,NA,NA,5,87.09,1023,7,NE,87,1.7,7.3
231,2010,1,10,14,4,NA,NA,NA,5,87.09,1022,7,NE,92,NA,NA
232,2010,1,10,15,4,NA,NA,NA,5,87.09,1022,7,NE,96,1.4,1.4
233,2010,1,10,16,4,NA,NA,NA,6,93.35,1023,7,NE,101,1.6,3
234,2010,1,10,17,4,NA,NA,NA,6,93.35,1023,7,NE,106,1.2,4.2
235,2010,1,10,18,4,NA,NA,NA,5,87.09,1024,7,NE,111,1,5.2
236,2010,1,10,19,4,NA,NA,NA,5,93.29,1024,6,NE,118,0.4,5.6
237,2010,1,10,20,4,NA,NA,NA,5,93.29,1025.1,6,NE,124,0.5,6.1
238,2010,1,10,21,4,NA,NA,NA,4,86.99,1026.1,6,NE,132,0.3,6.4
239,2010,1,10,22,4,NA,NA,NA,4,86.99,1026.1,6,NE,138,0.2,6.6
240,2010,1,10,23,4,NA,NA,NA,4,93.24,1026.1,5,NE,145,0.1,6.7
241,2010,1,11,0,4,NA,NA,NA,4,93.24,1026.1,5,NE,151,0.1,6.8
242,2010,1,11,1,4,NA,NA,NA,3,93.19,1026.1,4,NE,156,0.1,6.9
243,2010,1,11,2,4,NA,NA,NA,3,93.19,1026.1,4,NE,162,0.1,7
244,2010,1,11,3,4,NA,NA,NA,3,93.19,1026.1,4,NE,169,0.1,7.1
245,2010,1,11,4,4,NA,NA,NA,3,93.19,1026.1,4,NE,176,0.3,7.4
246,2010,1,11,5,4,NA,NA,NA,3,93.19,1026.1,4,NE,184,0.7,8.1
247,2010,1,11,6,4,NA,NA,NA,2,93.13,1027.1,3,NE,193,0.2,8.3
248,2010,1,11,7,4,NA,NA,NA,1,93.08,1027.1,2,NE,200,0.1,8.4
249,2010,1,11,8,4,NA,NA,NA,1,93.08,1028.1,2,NE,206,0.1,8.5
250,2010,1,11,9,4,NA,NA,NA,1,93.08,1028.1,2,NE,209,0.3,8.8
251,2010,1,11,10,4,NA,NA,NA,1,93.08,1028.1,2,NW,4,0.1,8.9
252,2010,1,11,11,4,NA,NA,NA,1,93.08,1028.1,2,NW,9,0.2,9.1
253,2010,1,11,12,4,NA,NA,NA,0,86.58,1028.1,2,NW,16,0.6,9.7
254,2010,1,11,13,4,NA,NA,NA,0,93.02,1028.1,1,NW,22,0.1,9.8
255,2010,1,11,14,4,NA,NA,NA,0,86.58,1027.1,2,NE,5,0.1,9.9
256,2010,1,11,15,4,NA,NA,NA,0,86.58,1027.1,2,NW,4,0,0
257,2010,1,11,16,4,NA,NA,NA,0,93.02,1027.1,1,NW,9,0.1,0.1
258,2010,1,11,17,4,NA,NA,NA,0,86.58,1028.1,2,NW,15,0,0
259,2010,1,11,18,4,NA,NA,NA,-1,80.49,1029.1,2,NE,7,0,0
260,2010,1,11,19,4,NA,NA,NA,-2,74.78,1029.1,2,NW,5,0,0
261,2010,1,11,20,4,NA,NA,NA,-3,69.43,1030.1,2,NW,10,0,0
262,2010,1,11,21,4,NA,NA,NA,-3,74.59,1030.1,1,NW,16,0,0
263,2010,1,11,22,4,NA,NA,NA,-3,74.59,1030.1,1,NW,21,0,0
264,2010,1,11,23,4,NA,NA,NA,-4,69.21,1030.1,1,NW,27,0,0
265,2010,1,12,0,4,NA,NA,NA,-4,69.21,1030.1,1,NW,34,0,0
266,2010,1,12,1,4,NA,NA,NA,-5,69,1030.1,0,NW,40,0,0
267,2010,1,12,2,4,NA,NA,NA,-5,69,1030.1,0,NW,46,0,0
268,2010,1,12,3,4,NA,NA,NA,-5,69,1028.1,0,NW,51,0,0
269,2010,1,12,4,4,NA,NA,NA,-6,68.78,1029.1,-1,NW,57,0,0
270,2010,1,12,5,4,NA,NA,NA,-6,68.78,1029.1,-1,NW,61,0,0
271,2010,1,12,6,4,NA,NA,NA,-6,68.78,1029.1,-1,NW,66,0,0
272,2010,1,12,7,4,NA,NA,NA,-6,68.78,1029.1,-1,NW,70,0,0
273,2010,1,12,8,4,NA,NA,NA,-6,68.78,1030.1,-1,NW,74,0,0
274,2010,1,12,9,4,NA,NA,NA,-7,63.69,1030.1,-1,NW,80,0,0
275,2010,1,12,10,4,NA,NA,NA,-9,50.68,1030.1,0,NW,85,0,0
276,2010,1,12,11,4,NA,NA,NA,-10,43.57,1029.1,1,NW,90,0,0
277,2010,1,12,12,4,NA,NA,NA,-10,40.55,1027.1,2,NW,94,0,0
278,2010,1,12,13,4,NA,NA,NA,-10,37.77,1025.1,3,NW,99,0,0
279,2010,1,12,14,4,NA,NA,NA,-7,44.49,1024,4,NW,104,0,0
280,2010,1,12,15,4,NA,NA,NA,-10,37.77,1024,3,SW,5,0,0
281,2010,1,12,16,4,NA,NA,NA,-9,40.86,1024,3,NW,6,0,0
282,2010,1,12,17,4,NA,NA,NA,-7,47.74,1024,3,NW,9,0,0
283,2010,1,12,18,4,NA,NA,NA,-6,51.56,1025.1,3,NW,11,0,0
284,2010,1,12,19,4,NA,NA,NA,-5,59.74,1025.1,2,NW,12,0,0
285,2010,1,12,20,4,NA,NA,NA,-4,64.42,1025.1,2,SW,2,0,0
286,2010,1,12,21,4,NA,NA,NA,-4,64.42,1026.1,2,SW,4,0,0
287,2010,1,12,22,4,NA,NA,NA,-4,64.42,1026.1,2,NW,3,0,0
288,2010,1,12,23,4,NA,NA,NA,-5,55.63,1028.1,3,NW,11,0,0
289,2010,1,13,0,4,NA,NA,NA,-10,40.55,1029.1,2,NW,17,0,0
290,2010,1,13,1,4,NA,NA,NA,-8,50.97,1029.1,1,NE,7,0,0
291,2010,1,13,2,4,NA,NA,NA,-5,69,1030.1,0,NE,14,0.1,0.1
292,2010,1,13,3,4,NA,NA,NA,-7,63.69,1031.2,-1,NW,7,0,0
293,2010,1,13,4,4,NA,NA,NA,-11,50.08,1031.2,-2,NW,13,0,0
294,2010,1,13,5,4,NA,NA,NA,-16,35.86,1031.8,-3,NW,21,0,0
295,2010,1,13,6,4,NA,NA,NA,-15,41.99,1032.9,-4,NW,27,0,0
296,2010,1,13,7,4,NA,NA,NA,-14,45.6,1032.9,-4,NW,33,0,0
297,2010,1,13,8,4,NA,NA,NA,-15,41.99,1033.9,-4,NW,40,0,0
298,2010,1,13,9,4,NA,NA,NA,-14,42.31,1034.9,-3,NW,48,0,0
299,2010,1,13,10,4,NA,NA,NA,-14,39.28,1034.9,-2,NW,55,0,0
300,2010,1,13,11,4,NA,NA,NA,-14,39.28,1033.9,-2,NW,62,0,0
301,2010,1,13,12,4,NA,NA,NA,-13,39.6,1032.9,-1,NW,69,0,0
302,2010,1,13,13,4,NA,NA,NA,-12,42.94,1032.9,-1,NW,76,0,0
303,2010,1,13,14,4,NA,NA,NA,-13,36.82,1031.8,0,NW,83,0,0
304,2010,1,13,15,4,NA,NA,NA,-14,33.93,1031.8,0,NW,89,0,0
305,2010,1,13,16,4,NA,NA,NA,-14,33.93,1032.9,0,NW,95,0,0
306,2010,1,13,17,4,NA,NA,NA,-14,33.93,1032.9,0,NW,101,0,0
307,2010,1,13,18,4,NA,NA,NA,-13,39.6,1033.9,-1,NW,105,0,0
308,2010,1,13,19,4,NA,NA,NA,-11,46.53,1033.9,-1,NW,107,0,0
309,2010,1,13,20,4,NA,NA,NA,-10,54.23,1033.9,-2,NW,109,0,0
310,2010,1,13,21,4,NA,NA,NA,-10,54.23,1033.9,-2,NW,110,0,0
311,2010,1,13,22,4,NA,NA,NA,-10,54.23,1033.9,-2,NE,1,0,0
