No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
34,2010,1,2,9,4,NA,NA,NA,4,75.84,1022,8,cv,1,0,0
35,2010,1,2,10,4,NA,NA,NA,4,75.84,1022,8,cv,2,0,0
36,2010,1,2,11,4,NA,NA,NA,5,81.34,1023,8,cv,3,0,0
37,2010,1,2,12,4,NA,NA,NA,4,70.88,1022,9,cv,4,0,0
38,2010,1,2,13,4,NA,NA,NA,4,70.88,1021,9,cv,5,0,0
39,2010,1,2,14,4,NA,NA,NA,4,70.88,1020,9,cv,5,0,0
40,2010,1,2,15,4,NA,NA,NA,4,70.88,1019,9,cv,6,0,0
41,2010,1,2,16,4,NA,NA,NA,4,70.88,1020,9,cv,7,0,0
42,2010,1,2,17,4,NA,NA,NA,5,81.34,1020,8,NW,3,0,0
43,2010,1,2,18,4,NA,NA,NA,4,75.84,1022,8,NW,7,0,0
44,2010,1,2,19,4,NA,NA,NA,5,81.34,1023,8,cv,1,0,0
45,2010,1,2,20,4,NA,NA,NA,5,87.09,1024,7,cv,2,0,0
46,2010,1,2,21,4,NA,NA,NA,4,86.99,1024,6,cv,3,0,0
47,2010,1,2,22,4,NA,NA,NA,3,86.89,1024,5,cv,4,0,0
48,2010,1,2,23,4,NA,NA,NA,2,93.13,1024,3,SW,1,0,0
49,2010,1,3,0,4,NA,NA,NA,3,86.89,1023,5,cv,0,0,0
50,2010,1,3,1,4,NA,NA,NA,2,86.79,1022,4,cv,0,0,0
51,2010,1,3,2,4,NA,NA,NA,3,86.89,1021,5,cv,0,0,0
52,2010,1,3,3,4,NA,NA,NA,3,93.19,1021,4,cv,0,0,0
53,2010,1,3,4,4,NA,NA,NA,4,93.24,1020,5,cv,0,0,0
54,2010,1,3,5,4,NA,NA,NA,4,86.99,1019,6,cv,0,0,0
55,2010,1,3,6,4,NA,NA,NA,4,86.99,1018,6,cv,0,0,0
56,2010,1,3,7,4,NA,NA,NA,4,86.99,1019,6,cv,0,0,0
57,2010,1,3,8,4,NA,NA,NA,5,93.29,1019,6,NE,2,0,0
58,2010,1,3,9,4,NA,NA,NA,5,93.29,1019,6,cv,1,0,0
59,2010,1,3,10,4,NA,NA,NA,5,87.09,1019,7,cv,1,0,0
60,2010,1,3,11,4,NA,NA,NA,5,87.09,1019,7,cv,1,0,0
61,2010,1,3,12,4,NA,NA,NA,4,75.84,1016.9,8,NW,2,0,0
62,2010,1,3,13,4,NA,NA,NA,4,75.84,1015.9,8,NW,4,0,0
63,2010,1,3,14,4,NA,NA,NA,4,75.84,1013.9,8,NW,7,0,0
64,2010,1,3,15,4,NA,NA,NA,4,81.2,1013.9,7,NW,10,0,0
65,2010,1,3,16,4,NA,NA,NA,4,75.84,1013.9,8,NW,13,0,0
66,2010,1,3,17,4,NA,NA,NA,4,75.84,1013.9,8,NW,15,0,0
67,2010,1,3,18,4,NA,NA,NA,3,70.67,1014.9,8,NE,3,0,0
68,2010,1,3,19,4,NA,NA,NA,4,81.2,1015.9,7,NW,3,0,0
69,2010,1,3,20,4,NA,NA,NA,4,81.2,1016.9,7,NW,6,0,0
70,2010,1,3,21,4,NA,NA,NA,4,81.2,1018,7,NW,8,0,0
71,2010,1,3,22,4,NA,NA,NA,4,81.2,1018,7,NW,10,0,0
72,2010,1,3,23,4,NA,NA,NA,4,81.2,1018,7,cv,0,0,0
73,2010,1,4,0,4,NA,NA,NA,4,81.2,1018,7,cv,1,0,0
74,2010,1,4,1,4,NA,NA,NA,4,86.99,1016.9,6,SW,2,0,0
75,2010,1,4,2,4,NA,NA,NA,3,86.89,1015.9,5,cv,0,0,0
76,2010,1,4,3,4,NA,NA,NA,2,93.13,1015.9,3,cv,1,0,0
77,2010,1,4,4,4,NA,NA,NA,1,86.68,1015.9,3,SW,1,0,0
78,2010,1,4,5,4,NA,NA,NA,3,93.19,1015.9,4,cv,0,0,0
79,2010,1,4,6,4,NA,NA,NA,3,93.19,1015.9,4,cv,0,0,0
80,2010,1,4,7,4,NA,NA,NA,3,93.19,1015.9,4,cv,0,0,0
81,2010,1,4,8,4,NA,NA,NA,3,93.19,1016.9,4,cv,0,0.1,0.1
82,2010,1,4,9,4,NA,NA,NA,3,86.89,1016.9,5,cv,0,0,0
83,2010,1,4,10,4,NA,NA,NA,4,93.24,1018,5,SW,0.51,0,0
84,2010,1,4,11,4,NA,NA,NA,4,86.99,1018,6,SW,2.51,0,0
85,2010,1,4,12,4,NA,NA,NA,4,86.99,1016.9,6,SW,4.51,0,0
86,2010,1,4,13,4,NA,NA,NA,4,81.2,1015.9,7,cv,1,0,0
87,2010,1,4,14,4,NA,NA,NA,3,66.05,1013.9,9,cv,2,0,0
88,2010,1,4,15,4,NA,NA,NA,4,66.27,1012.9,10,cv,3,0,0
89,2010,1,4,16,4,NA,NA,NA,4,66.27,1012.9,10,cv,4,0,0
90,2010,1,4,17,4,NA,NA,NA,4,66.27,1012.9,10,cv,5,0,0
91,2010,1,4,18,4,NA,NA,NA,4,70.88,1013.9,9,cv,6,0,0
92,2010,1,4,19,4,NA,NA,NA,5,76.01,1013.9,9,cv,7,0,0
93,2010,1,4,20,4,NA,NA,NA,4,70.88,1014.9,9,NW,2,0,0
94,2010,1,4,21,4,NA,NA,NA,4,70.88,1015.9,9,NW,4,0,0
95,2010,1,4,22,4,NA,NA,NA,4,75.84,1016.9,8,NW,5,0,0
96,2010,1,4,23,4,NA,NA,NA,3,70.67,1018,8,NW,7,0,0
97,2010,1,5,0,4,NA,NA,NA,2,70.47,1018,7,NW,9,0,0
98,2010,1,5,1,4,NA,NA,NA,2,70.47,1018,7,NW,11,0,0
99,2010,1,5,2,4,NA,NA,NA,2,70.47,1016.9,7,NE,3,0,0
100,2010,1,5,3,4,NA,NA,NA,2,75.49,1018,6,cv,0,0,0
101,2010,1,5,4,4,NA,NA,NA,3,81.06,1016.9,6,cv,0,0,0
102,2010,1,5,5,4,NA,NA,NA,3,81.06,1016.9,6,cv,0,0,0
103,2010,1,5,6,4,NA,NA,NA,3,81.06,1016.9,6,cv,0,0,0
104,2010,1,5,7,4,NA,NA,NA,2,75.49,1018,6,cv,0,0,0
105,2010,1,5,8,4,NA,NA,NA,3,81.06,1019,6,NW,1,0,0
106,2010,1,5,9,4,NA,NA,NA,3,75.67,1019,7,cv,0,0,0
107,2010,1,5,10,4,NA,NA,NA,3,75.67,1020,7,SW,1,0,0
108,2010,1,5,11,4,NA,NA,NA,3,70.67,1020,8,cv,1,0,0
109,2010,1,5,12,4,NA,NA,NA,3,70.67,1020,8,SW,1,0,0
110,2010,1,5,13,4,NA,NA,NA,2,61.51,1019,9,cv,0,0,0
111,2010,1,5,14,4,NA,NA,NA,3,61.76,1018,10,cv,0,0,0
112,2010,1,5,15,4,NA,NA,NA,2,53.81,1016.9,11,NW,2,0,0
113,2010,1,5,16,4,NA,NA,NA,2,53.81,1018,11,NE,3,0,0
114,2010,1,5,17,4,NA,NA,NA,2,53.81,1018,11,cv,1,0,0
115,2010,1,5,18,4,NA,NA,NA,3,61.76,1019,10,NE,2,0,0
116,2010,1,5,19,4,NA,NA,NA,3,61.76,1020,10,NE,4,0,0
117,2010,1,5,20,4,NA,NA,NA,4,75.84,1021,8,cv,1,0,0
118,2010,1,5,21,4,NA,NA,NA,5,81.34,1021,8,SE,2,0,0
119,2010,1,5,22,4,NA,NA,NA,5,81.34,1021,8,cv,1,0,0
120,2010,1,5,23,4,NA,NA,NA,5,87.09,1022,7,cv,2,0,0
121,2010,1,6,0,4,NA,NA,NA,4,86.99,1022,6,cv,2,0,0
122,2010,1,6,1,4,NA,NA,NA,5,87.09,1022,7,cv,3,0,0
123,2010,1,6,2,4,NA,NA,NA,5,87.09,1022,7,SW,1,0,0
124,2010,1,6,3,4,NA,NA,NA,5,87.09,1022,7,cv,0,0,0
125,2010,1,6,4,4,NA,NA,NA,5,87.09,1022,7,cv,0,0,0
126,2010,1,6,5,4,NA,NA,NA,5,87.09,1021,7,cv,0,0,0
127,2010,1,6,6,4,NA,NA,NA,5,87.09,1021,7,cv,0,0,0
128,2010,1,6,7,4,NA,NA,NA,5,87.09,1022,7,cv,0,0,0
129,2010,1,6,8,4,NA,NA,NA,5,87.09,1022,7,cv,1,0,0
130,2010,1,6,9,4,NA,NA,NA,5,87.09,1023,7,SW,1,0,0
131,2010,1,6,10,4,NA,NA,NA,5,87.09,1024,7,SW,2,0,0
132,2010,1,6,11,4,NA,NA,NA,4,75.84,1024,8,cv,1,0,0
133,2010,1,6,12,4,NA,NA,NA,5,81.34,1023,8,cv,2,0,0
134,2010,1,6,13,4,NA,NA,NA,4,75.84,1022,8,cv,3,0,0
135,2010,1,6,14,4,NA,NA,NA,4,75.84,1021,8,cv,4,0,0
136,2010,1,6,15,4,NA,NA,NA,4,75.84,1020,8,NE,2,0,0
137,2010,1,6,16,4,NA,NA,NA,4,75.84,1020,8,cv,1,0,0
138,2010,1,6,17,4,NA,NA,NA,5,81.34,1021,8,NW,2,0,0
139,2010,1,6,18,4,NA,NA,NA,5,81.34,1021,8,cv,1,0,0
140,2010,1,6,19,4,NA,NA,NA,5,87.09,1022,7,NW,2,0,0
141,2010,1,6,20,4,NA,NA,NA,5,87.09,1022,7,NW,4,0,0
142,2010,1,6,21,4,NA,NA,NA,5,87.09,1023,7,NW,6,0,0
143,2010,1,6,22,4,NA,NA,NA,5,87.09,1024,7,NW,8,0.1,0.1
144,2010,1,6,23,4,NA,NA,NA,5,87.09,1024,7,NW,10,0,0
145,2010,1,7,0,4,NA,NA,NA,5,87.09,1024,7,cv,1,0,0
146,2010,1,7,1,4,NA,NA,NA,5,87.09,1024,7,cv,2,0,0
147,2010,1,7,2,4,NA,NA,NA,5,87.09,1024,7,NE,2,0,0
148,2010,1,7,3,4,NA,NA,NA,5,87.09,1024,7,cv,1,0,0
149,2010,1,7,4,4,NA,NA,NA,5,87.09,1024,7,NW,1,0,0
150,2010,1,7,5,4,NA,NA,NA,5,87.09,1024,7,NW,2,0,0
151,2010,1,7,6,4,NA,NA,NA,5,87.09,1024,7,cv,1,0,0
152,2010,1,7,7,4,NA,NA,NA,5,87.09,1024,7,cv,2,0,0
153,2010,1,7,8,4,NA,NA,NA,5,87.09,1025.1,7,cv,2,0,0
154,2010,1,7,9,4,NA,NA,NA,5,87.09,1026.1,7,cv,2,0,0
155,2010,1,7,10,4,NA,NA,NA,6,93.35,1027.1,7,cv,2,0,0
156,2010,1,7,11,4,NA,NA,NA,6,87.19,1027.1,8,cv,3,NA,NA
157,2010,1,7,12,4,NA,NA,NA,6,87.19,1026.1,8,cv,4,0,0
158,2010,1,7,13,4,NA,NA,NA,5,76.01,1025.1,9,cv,5,0,0
159,2010,1,7,14,4,NA,NA,NA,6,76.18,1024,10,SW,2,0,0
160,2010,1,7,15,4,NA,NA,NA,5,71.07,1023,10,SW,4,0,0
161,2010,1,7,16,4,NA,NA,NA,5,71.07,1023,10,SW,6,0,0
162,2010,1,7,17,4,NA,NA,NA,5,71.07,1024,10,SW,8,0,0
163,2010,1,7,18,4,NA,NA,NA,5,76.01,1024,9,SW,10,0,0
164,2010,1,7,19,4,NA,NA,NA,5,87.09,1025.1,7,SW,12,0,0
165,2010,1,7,20,4,NA,NA,NA,5,87.09,1025.1,7,cv,0,0,0
166,2010,1,7,21,4,NA,NA,NA,5,87.09,1025.1,7,cv,1,0,0
167,2010,1,7,22,4,NA,NA,NA,4,86.99,1025.1,6,SW,1,0,0
168,2010,1,7,23,4,NA,NA,NA,4,93.24,1025.1,5,cv,0,0,0
169,2010,1,8,0,4,NA,NA,NA,3,86.89,1025.1,5,cv,0,0,0
170,2010,1,8,1,4,NA,NA,NA,3,93.19,1024,4,cv,0,0,0
171,2010,1,8,2,4,NA,NA,NA,3,93.19,1023,4,cv,1,0,0
172,2010,1,8,3,4,NA,NA,NA,4,93.24,1023,5,NW,1,0,0
173,2010,1,8,4,4,NA,NA,NA,4,93.24,1022,5,cv,0,0,0
174,2010,1,8,5,4,NA,NA,NA,4,86.99,1021,6,cv,0,0,0
175,2010,1,8,6,4,NA,NA,NA,4,86.99,1021,6,cv,1,0,0
176,2010,1,8,7,4,NA,NA,NA,4,93.24,1021,5,cv,1,0,0
177,2010,1,8,8,4,NA,NA,NA,4,93.24,1021,5,cv,2,0,0
178,2010,1,8,9,4,NA,NA,NA,5,93.29,1021,6,cv,2,0,0
179,2010,1,8,10,4,NA,NA,NA,5,93.29,1021,6,cv,3,0,0
180,2010,1,8,11,4,NA,NA,NA,5,87.09,1021,7,NE,2,0,0
181,2010,1,8,12,4,NA,NA,NA,5,87.09,1020,7,NE,4,0,0
182,2010,1,8,13,4,NA,NA,NA,6,93.35,1018,7,NE,7,0,0
183,2010,1,8,14,4,NA,NA,NA,5,87.09,1015.9,7,NW,2,0,0
184,2010,1,8,15,4,NA,NA,NA,5,81.34,1014.9,8,NW,4,0,0
185,2010,1,8,16,4,NA,NA,NA,5,81.34,1013.9,8,NW,6,0,0
186,2010,1,8,17,4,NA,NA,NA,4,75.84,1013.9,8,NE,3,0,0
187,2010,1,8,18,4,NA,NA,NA,4,75.84,1013.9,8,cv,1,0,0
188,2010,1,8,19,4,NA,NA,NA,4,75.84,1014.9,8,NW,1,0,0
189,2010,1,8,20,4,NA,NA,NA,5,81.34,1014.9,8,NW,3,0,0
190,2010,1,8,21,4,NA,NA,NA,4,75.84,1015.9,8,cv,1,0,0
191,2010,1,8,22,4,NA,NA,NA,5,87.09,1015.9,7,cv,2,0,0
192,2010,1,8,23,4,NA,NA,NA,5,87.09,1016.9,7,cv,2,0,0
193,2010,1,9,0,4,NA,NA,NA,5,87.09,1016.9,7,cv,2,0,0
194,2010,1,9,1,4,NA,NA,NA,5,87.09,1015.9,7,cv,2,0,0
195,2010,1,9,2,4,NA,NA,NA,5,87.09,1015.9,7,cv,2,0,0
196,2010,1,9,3,4,NA,NA,NA,5,87.09,1015.9,7,cv,2,0,0
197,2010,1,9,4,4,NA,NA,NA,5,87.09,1014.9,7,cv,2,0,0
198,2010,1,9,5,4,NA,NA,NA,5,87.09,1014.9,7,cv,3,0,0
199,2010,1,9,6,4,NA,NA,NA,5,87.09,1013.9,7,SW,2,0,0
200,2010,1,9,7,4,NA,NA,NA,5,87.09,1014.9,7,SW,3,0,0
201,2010,1,9,8,4,NA,NA,NA,5,93.29,1014.9,6,SW,5,0,0
202,2010,1,9,9,4,NA,NA,NA,5,87.09,1015.9,7,cv,2,0,0
203,2010,1,9,10,4,NA,NA,NA,5,81.34,1015.9,8,cv,3,0,0
204,2010,1,9,11,4,NA,NA,NA,4,70.88,1016.9,9,SW,2,0,0
205,2010,1,9,12,4,NA,NA,NA,4,66.27,1015.9,10,SW,4,0,0
206,2010,1,9,13,4,NA,NA,NA,4,58.03,1013.9,12,SE,3,0,0
207,2010,1,9,14,4,NA,NA,NA,3,57.77,1012.9,11,SE,5,0,0
208,2010,1,9,15,4,NA,NA,NA,2,47.17,1011.9,13,cv,1,0,0
209,2010,1,9,16,4,NA,NA,NA,2,50.36,1011.9,12,NE,2,0,0
210,2010,1,9,17,4,NA,NA,NA,2,53.81,1012.9,11,SE,3,0,0
211,2010,1,9,18,4,NA,NA,NA,1,50.08,1014.9,11,NE,2,0,0
212,2010,1,9,19,4,NA,NA,NA,2,53.81,1015.9,11,NE,4,0,0
213,2010,1,9,20,4,NA,NA,NA,2,53.81,1016.9,11,cv,1,0,0
214,2010,1,9,21,4,NA,NA,NA,2,57.51,1018,10,cv,2,0,0
215,2010,1,9,22,4,NA,NA,NA,4,70.88,1019,9,SW,1,0,0
216,2010,1,9,23,4,NA,NA,NA,4,70.88,1020,9,cv,0,0,0
217,2010,1,10,0,4,NA,NA,NA,5,81.34,1020,8,SW,1,0,0
218,2010,1,10,1,4,NA,NA,NA,5,81.34,1020,8,SW,2,0,0
219,2010,1,10,2,4,NA,NA,NA,5,81.34,1020,8,SW,3,0,0
220,2010,1,10,3,4,NA,NA,NA,5,81.34,1020,8,cv,0,0,0
221,2010,1,10,4,4,NA,NA,NA,5,81.34,1020,8,NE,1,0,0
222,2010,1,10,5,4,NA,NA,NA,6,87.19,1019,8,SE,2,0,0
223,2010,1,10,6,4,NA,NA,NA,6,87.19,1019,8,SE,3,0,0
224,2010,1,10,7,4,NA,NA,NA,5,87.09,1020,7,cv,0,0,0
225,2010,1,10,8,4,NA,NA,NA,6,87.19,1020,8,NE,2,0,0
226,2010,1,10,9,4,NA,NA,NA,6,87.19,1021,8,cv,1,0,0
227,2010,1,10,10,4,NA,NA,NA,6,87.19,1022,8,cv,1,0,0
228,2010,1,10,11,4,NA,NA,NA,6,81.48,1023,9,cv,1,0,0
229,2010,1,10,12,4,NA,NA,NA,6,71.27,1022,11,cv,2,0,0
230,2010,1,10,13,4,NA,NA,NA,5,66.49,1021,11,NE,2,0,0
231,2010,1,10,14,4,NA,NA,NA,3,54.08,1019,12,NE,5,0,0
232,2010,1,10,15,4,NA,NA,NA,3,57.77,1018,11,NE,8,0,0
233,2010,1,10,16,4,NA,NA,NA,3,57.77,1018,11,NE,11,0,0
234,2010,1,10,17,4,NA,NA,NA,2,57.51,1019,10,NE,14,0,0
235,2010,1,10,18,4,NA,NA,NA,3,61.76,1020,10,NE,19,0,0
236,2010,1,10,19,4,NA,NA,NA,3,66.05,1022,9,NE,22,0,0
237,2010,1,10,20,4,NA,NA,NA,2,57.51,1023,10,NE,26,0,0
238,2010,1,10,21,4,NA,NA,NA,3,66.05,1024,9,NW,3,0,0
239,2010,1,10,22,4,NA,NA,NA,4,75.84,1025.1,8,NW,5,0,0
240,2010,1,10,23,4,NA,NA,NA,5,81.34,1026.1,8,NW,7,0.1,0.1
241,2010,1,11,0,4,NA,NA,NA,4,75.84,1026.1,8,cv,0,0,0
242,2010,1,11,1,4,NA,NA,NA,4,75.84,1026.1,8,cv,1,0,0
243,2010,1,11,2,4,NA,NA,NA,1,57.25,1026.1,9,NW,2,0,0
244,2010,1,11,3,4,NA,NA,NA,-2,43.01,1026.1,10,NW,7,0,0
245,2010,1,11,4,4,NA,NA,NA,-3,39.93,1026.1,10,NE,4,0,0
246,2010,1,11,5,4,NA,NA,NA,-3,42.71,1026.1,9,NE,8,0,0
247,2010,1,11,6,4,NA,NA,NA,-2,46,1026.1,9,NE,12,0,0
248,2010,1,11,7,4,NA,NA,NA,-1,49.51,1026.1,9,NE,16,0,0
249,2010,1,11,8,4,NA,NA,NA,-3,42.71,1027.1,9,NE,19,0,0
250,2010,1,11,9,4,NA,NA,NA,-1,52.98,1027.1,8,cv,1,0,0
251,2010,1,11,10,4,NA,NA,NA,1,57.25,1028.1,9,NW,2,0,0
252,2010,1,11,11,4,NA,NA,NA,-4,37.05,1029.1,10,NW,5,0,0
253,2010,1,11,12,4,NA,NA,NA,-6,31.84,1028.1,10,NE,4,0,0
254,2010,1,11,13,4,NA,NA,NA,-6,29.79,1027.1,11,NE,8,0,0
255,2010,1,11,14,4,NA,NA,NA,-7,25.82,1025.1,12,NE,12,0,0
256,2010,1,11,15,4,NA,NA,NA,-7,27.58,1025.1,11,NE,15,0,0
257,2010,1,11,16,4,NA,NA,NA,-6,29.79,1024,11,NE,18,0,0
258,2010,1,11,17,4,NA,NA,NA,-6,29.79,1025.1,11,NE,22,0,0
259,2010,1,11,18,4,NA,NA,NA,-7,27.58,1027.1,11,NE,26,0,0
260,2010,1,11,19,4,NA,NA,NA,-6,31.84,1028.1,10,NE,29,0,0
261,2010,1,11,20,4,NA,NA,NA,-6,31.84,1029.1,10,NW,3,0,0
262,2010,1,11,21,4,NA,NA,NA,-5,34.36,1030.1,10,cv,1,0,0
263,2010,1,11,22,4,NA,NA,NA,-4,42.4,1031.2,8,cv,1,0,0
264,2010,1,11,23,4,NA,NA,NA,-2,49.22,1031.8,8,cv,1,0,0
265,2010,1,12,0,4,NA,NA,NA,-1,52.98,1031.8,8,NW,1,0,0
266,2010,1,12,1,4,NA,NA,NA,-1,56.72,1031.8,7,NW,2,0,0
267,2010,1,12,2,4,NA,NA,NA,-2,56.45,1031.8,6,NW,3,0,0
268,2010,1,12,3,4,NA,NA,NA,-1,80.49,1031.8,2,cv,1,0,0
269,2010,1,12,4,4,NA,NA,NA,-1,74.96,1031.2,3,cv,1,0,0
270,2010,1,12,5,4,NA,NA,NA,-2,74.78,1030.1,2,cv,1,0,0
271,2010,1,12,6,4,NA,NA,NA,-2,80.34,1030.1,1,SW,1,0,0
272,2010,1,12,7,4,NA,NA,NA,-1,86.47,1030.1,1,cv,0,0,0
273,2010,1,12,8,4,NA,NA,NA,-1,86.47,1030.1,1,SW,1,0,0
274,2010,1,12,9,4,NA,NA,NA,-1,80.49,1030.1,2,SW,3,0,0
275,2010,1,12,10,4,NA,NA,NA,1,75.32,1030.1,5,cv,1,0,0
276,2010,1,12,11,4,NA,NA,NA,-2,52.7,1030.1,7,cv,2,0,0
277,2010,1,12,12,4,NA,NA,NA,-2,43.01,1029.1,10,SE,2,0,0
278,2010,1,12,13,4,NA,NA,NA,-5,32.14,1027.1,11,SE,5,0,0
279,2010,1,12,14,4,NA,NA,NA,-4,34.66,1025.1,11,cv,2,0,0
280,2010,1,12,15,4,NA,NA,NA,-5,30.09,1023,12,SE,2,0,0
281,2010,1,12,16,4,NA,NA,NA,-6,27.88,1023,12,SE,4,0,0
282,2010,1,12,17,4,NA,NA,NA,-5,30.09,1023,12,cv,1,0,0
283,2010,1,12,18,4,NA,NA,NA,-4,37.05,1023,10,cv,2,0,0
284,2010,1,12,19,4,NA,NA,NA,-2,52.7,1024,7,cv,2,0,0
285,2010,1,12,20,4,NA,NA,NA,-1,49.51,1025.1,9,NE,2,0,0
286,2010,1,12,21,4,NA,NA,NA,-2,46,1026.1,9,NE,4,0,0
287,2010,1,12,22,4,NA,NA,NA,-2,46,1027.1,9,NE,6,0,0
288,2010,1,12,23,4,NA,NA,NA,-2,46,1028.1,9,cv,1,0,0
289,2010,1,13,0,4,NA,NA,NA,-1,49.51,1029.1,9,cv,1,0,0
290,2010,1,13,1,4,NA,NA,NA,-1,52.98,1029.1,8,cv,2,0,0
291,2010,1,13,2,4,NA,NA,NA,1,65.59,1029.1,7,cv,2,0,0
292,2010,1,13,3,4,NA,NA,NA,0,61.01,1028.1,7,cv,3,0,0
293,2010,1,13,4,4,NA,NA,NA,1,70.27,1028.1,6,SW,2,0,0
294,2010,1,13,5,4,NA,NA,NA,1,65.59,1028.1,7,SW,3,0,0
295,2010,1,13,6,4,NA,NA,NA,2,80.92,1028.1,5,SW,4,0,0
296,2010,1,13,7,4,NA,NA,NA,2,75.49,1028.1,6,SW,5,0,0
297,2010,1,13,8,4,NA,NA,NA,3,81.06,1028.1,6,cv,1,0,0
298,2010,1,13,9,4,NA,NA,NA,3,81.06,1029.1,6,cv,2,0,0
299,2010,1,13,10,4,NA,NA,NA,3,75.67,1029.1,7,cv,3,0,0
300,2010,1,13,11,4,NA,NA,NA,1,57.25,1029.1,9,cv,4,0,0
301,2010,1,13,12,4,NA,NA,NA,1,50.08,1028.1,11,cv,5,0,0
302,2010,1,13,13,4,NA,NA,NA,1,50.08,1027.1,11,cv,7,0,0
303,2010,1,13,14,4,NA,NA,NA,-1,40.54,1025.1,12,SE,2,0,0
304,2010,1,13,15,4,NA,NA,NA,-1,40.54,1025.1,12,cv,2,0,0
305,2010,1,13,16,4,NA,NA,NA,0,43.6,1024,12,SE,4,0,0
306,2010,1,13,17,4,NA,NA,NA,0,46.58,1025.1,11,SE,7,0,0
307,2010,1,13,18,4,NA,NA,NA,-1,43.31,1025.1,11,SE,9,0,0
308,2010,1,13,19,4,NA,NA,NA,0,46.58,1026.1,11,NE,2,0,0
309,2010,1,13,20,4,NA,NA,NA,1,53.53,1027.1,10,cv,1,0,0
310,2010,1,13,21,4,NA,NA,NA,1,53.53,1027.1,10,cv,2,0,0
311,2010,1,13,22,4,NA,NA,NA,1,57.25,1028.1,9,cv,2,0,0
312,2010,1,13,23,4,NA,NA,NA,1,57.25,1027.1,9,cv,2,0,0
313,2010,1,14,0,4,NA,NA,NA,1,57.25,1027.1,9,SW,2,0,0
314,2010,1,14,1,4,NA,NA,NA,1,57.25,1026.1,9,cv,1,0,0
315,2010,1,14,2,4,NA,NA,NA,1,61.26,1025.1,8,cv,2,0,0
316,2010,1,14,3,4,NA,NA,NA,1,65.59,1025.1,7,cv,2,0,0
317,2010,1,14,4,4,NA,NA,NA,1,65.59,1024,7,cv,2,0,0
318,2010,1,14,5,4,NA,NA,NA,2,70.47,1023,7,cv,2,0,0
319,2010,1,14,6,4,NA,NA,NA,2,70.47,1023,7,cv,2,0,0
320,2010,1,14,7,4,NA,NA,NA,2,70.47,1023,7,cv,2,0,0
